procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,PHARMATIS LABORATORIES LTD,"20,175,004.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,PHARMATIS LABORATORIES LTD,"20,175,004.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,MEDINA CHEMICALS LTD,"54,400,000.00",Open tender,4/8/2014,6/28/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,JABEZ HEALTHCARE LIMITED,"30,360,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/15/2014-2015,SUPPLY AND DELIVERY OF DRY FOOD,M/S BOBOZS INVESTMENTS,"5,080,000.00",Open tender,4/23/2014,6/27/2014,7/7/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,HARLEY'S LTD,"53,630,636.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,HARLEY'S LTD,"53,630,636.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/2/2014-2016,KNH/T/2/2014-2016 Supply and Delivery of Surgical and Applicances,Bakpharm Ltd,"7,133,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,JANST HEALTHCARE INTERNATIONAL LIMITED,"17,259,060.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/15/2014-2015,SUPPLY AND DELIVERY OF DRY FOOD,M/S FARAJA UNGA LTD,"5,430,780.00",Open tender,4/23/2014,6/27/2014,7/7/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,AUTOSTERILE (EA) LTD,"19,890,800.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,KNH/T/2/2014-2016  Supply and Delivery of Surgical and Applicances,Bilova Chemist Ltd,"7,401,600.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,PHILLIPS HEALTHCARE TECHNOLOGIES LIMITED,"11,364,400.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,FAMI INVESTMENT LTD,"9,220,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,FAMI INVESTMENT LTD,"9,220,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/12/2014-2015,"SUPPLY AND DELIVERY OF BEEF, MUTTON, CHICKEN AND EGG",M/S YUSUF ALI ABDI COMPANY LIMITED,"35,793,540.00",Open tender,4/23/2014,6/23/2014,7/8/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/13/2014-2014,SUPPLY AND DELIVERY OF MILK,M/S NEW KENYA COOPERATIVE CREAMARIES,"41,793,016.00",Open tender,4/23/2014,6/2/2014,6/16/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/87/2014-2015,KNH/T/87/2014-2015 Operational Leasing of Lab Equipment (Clinical Chemistry Analyzer and Accessories),Lued (A) Chemicals Ltd,"17,949,850.00",Open tender,11/27/2014,12/17/2014,12/30/2014,12/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/71/2014-2016,KNH/T/71/2014-2016 SUPPLY AND DELIVERY OF SURGICAL DRESSING AND APPLIANCES,Fuji Medical Intruments,"23,840,700.00",Open tender,10/17/2014,12/15/2014,12/30/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/71/2014-2016,KNH/T/71/2014-2016 SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,Tripple White Eagle Supplies,"20,497,500.00",Open tender,10/7/2014,12/15/2014,12/30/2014,6/30/2014,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/71/2014-2016,KNH/T/71/2014/2016 SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,Phillips Healthcare Technologies Limited,"7,829,164.00",Open tender,10/7/2014,12/15/2014,12/30/2014,6/30/2014,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/79/2014-2016,KNH/T/79/2014-2016 Supply and Delivery of Sutures,Bactlabs East Africa Limited,"7,981,785.00",Open tender,11/4/2014,12/16/2014,12/31/2014,6/30/2015,,,6
KENYATTA NATIONAL HOSPITAL,KNH/T/79/2014-2016,KNH/T/79/2014-2016 SUPPLY AND DELIVERY OF SUTURES,Hubbways Equipments Ltd,"27,851,680.00",Open tender,4/4/2014,12/16/2014,12/30/2014,6/30/2014,17,17,7
KENYATTA NATIONAL HOSPITAL,KNH/T/65/2014-2016,SUPPLY & DELIVERY OF RADIOLOGY MATERIALS,COLOUR INTERNATIONAL LTD,"14,210,000.00",Open tender,9/16/2014,11/7/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/79/2014-2016,KNH/T/79/2014/2016 SUPPLY AND DELIVERY OF SUTURES,Phillips Healthcare Technologies Limited,"13,687,200.00",Open tender,11/4/2014,12/16/2014,12/31/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/65/2014-2016,SUPPLY & DELIVERY OF RADIOLOGY MATERIALS,UNISEL PHARMA (K) LTD,"14,093,670.00",Open tender,9/16/2014,11/7/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/79/2014-2016,KNH/T/79/2014-2016 - SUPPLY AND DELIVERY OF SUTURES,Surgipharm Ltd,"22,949,240.00",Open tender,11/4/2014,12/16/2014,12/31/2014,6/30/2014,17,17,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE FOR KENYATTA PRIME CENTRE,SURGIPHARM LIMITED,"27,712,073.00",Open tender,11/12/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE FOR KENYATTA PRIME CARE CENTRE,PHILLIPS HEALTHCARE TECHNOLOGIES LIMITED,"7,659,534.00",Open tender,10/13/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE,LABOREX KENYA LTD,"18,458,951.00",Open tender,10/13/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/57/2014-2015,"SUPPLY , DELIVERY,INSTALLATION, TESTING, COMMISSIONING OF MYCOBACTERIUM MOLECULAR BIOLOGY TECHNIQUES MACHINES",HAIN LIFESCIENCE EAST AFRICA LTD,"8,969,187.00",Open tender,8/18/2014,9/29/2014,10/16/2014,6/15/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE FOR KENYATTA NATIONAL HOSPITAL,HIGHCHEM MARKETING LTD,"5,854,520.00",Open tender,10/13/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE FOR KENYATTA PRIME CARE CENTRE,GOODMAN AGENCIES,"13,033,900.00",Open tender,10/13/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS-BRANDED MEDICINE FOR PRIME CARE CENTRE,GLAXOSMITHKLINE LIMITED,"15,089,115.00",Open tender,10/13/2014,11/13/2014,11/27/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/58/2014-2016,KNH/T/58/2014/2016 SUPPLY AND DELIVERY OF  LABORATORY CONSUMABLES,Sciencescope Limited,"6,238,515.00",Open tender,8/18/2014,10/23/2014,11/7/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/58/2014-2016,KNH/T/58/2014-2016 SUPPLY AND DELIVERY OF LABORATORY CONSUMABLES,Lued (A) Chemicals Ltd,"6,644,250.00",Open tender,8/18/2014,10/23/2014,11/7/2014,6/30/2014,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/64/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS,PHILLIPS PHARMACEUTICALS LIMITED,"44,373,802.00",Open tender,9/23/2014,11/14/2014,11/28/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/64/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS,GLAXOSMITHKLINE LIMITED,"9,404,700.00",Open tender,9/23/2014,11/14/2014,11/28/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/64/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS,SURGILINKS LIMITED,"9,878,120.00",Open tender,9/23/2014,11/14/2014,11/28/2014,6/30/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/64/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS,SURGIPHARM LIMITED,"68,496,398.00",Open tender,9/23/2014,11/14/2014,11/14/2014,11/28/2015,,,7
KENYATTA NATIONAL HOSPITAL,KNH/T/64/2014-2016,SUPPLY AND DELIVERY OF PHARMACEUTICALS,NAIROBI ENTERPRISES LIMITED,"9,761,000.00",Open tender,9/23/2014,11/14/2014,11/28/2014,6/30/2015,,,7
KENYA WATER INSTITUTE,KEWI/TEN/006/2014-2015,"Supply, Installation and commissioning of a Rotary Drilling Rig and accessories",Atlas Copco Eastern Africa Limited,"40,289,598.20",Open tender,11/28/2014,2/4/2015,3/9/2015,6/9/2015,6,6,7
KENYA WATER INSTITUTE,KEWI/TEN/007/2014-2015,Supply and Delivery of a Drilling Rig Support Truck,TRANSAFRICA MOTORS LIMITED,"6,000,000.00",Open tender,11/28/2014,2/4/2015,3/9/2015,6/9/2015,,,8
COMPETITION  AUTHORITY OF KENYA,CAK/TEND/02/2013-2014,"Provision of Group Medical Cover, Group Life Assurance and Group Personal Accident",M/s Jubilee Insurance Company Limited,"8,429,465.00",Open tender,8/15/2013,11/3/2014,12/1/2014,11/30/2015,14,11,8
WATER SERVICES REGULATORY BOARD,WASREB/TND/01/2014-2015,PROVISION OF CORPORATE INSURANCE COVER- MEDICAL IN AND OUT PATIENT,SAHAM ASSURANCE,"7,097,709.00",Open tender,9/11/2014,12/2/2014,1/28/2015,12/5/2015,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/13/2013-2014,Tender for the proposed renovation and external works for KIE Kabarnet Office,M/S Zillion Construction Company,"11,277,585.00",Open tender,11/29/2013,12/31/2013,1/20/2014,5/20/2014,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/14/2013-2014,Tender for the proposed renovation works for KIE LTD Offices in Voi Town,M/S SIMBEL CONTRACTORS,"13,677,205.00",Open tender,11/29/2013,12/31/2013,1/20/2014,5/20/2014,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/15/2013-2014,Proposed renovation works for KIE LTD Offices in Kitui,M/S Patic Construction and Engineering Limited,"10,509,296.00",Open tender,11/29/2013,12/31/2013,1/20/2014,5/20/2014,,,8
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/CHEM/01/2014-2015,"Supply and delivery of 2,000,000 Aluminium Phosphide Tablets 57% Active ingredient",Antipest K Ltd,"11,000,000.00",Open tender,8/4/2014,9/9/2014,10/1/2014,12/24/2014,7,7,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/16/2013-2014,Tender for the proposed renovation works for KIE LTD Offices in Tala,M/S AKAIGA CONSTRUCTION & ENGINEERINGN LIMITED,"9,222,191.40",Open tender,11/29/2013,12/31/2013,1/20/2013,5/20/2014,,,8
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/FP/01/2014-2015,Supply & delivery of Fabricated parts for Moi's Bridge Silos,Tui Agricultural Engineers,"6,232,213.68",Restricted Tender,10/30/2014,11/13/2014,11/17/2014,2/25/2015,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/17/2013-2014,"Tender for supply, installation and commissioning of PABX system at KIE Limited Head Office and Branches",M/S Wacly Enterprises,"10,286,300.00",Open tender,11/8/2013,11/22/2013,12/6/2014,4/6/2014,,,8
KENYA INDUSTRIAL ESTATES,TNO/KIE/20/2013-2014,Tender for the proposed renovation and external works for KIE LTD Main Office building,M/S LANDOR AND ASSOCIATES,"53,739,564.50",Open tender,1/7/2014,2/4/2014,2/20/2014,7/10/2014,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/21/2013-2014,"Tender for the proposed fencing, gate house and associated external works for KIE LTD Office in Mwatate",M/S MIKIMA ENTERPRISES,"6,247,215.00",Open tender,1/23/2014,2/14/2014,3/4/2014,5/4/2014,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/04/2014-2015,"Tender for the proposed renovation, fencing, gate house and associated external works for KIE LTD Office in Nunguni Center",M/S Shuria Construction Company limited,"13,361,354.00",Open tender,11/4/2014,12/5/2014,12/23/2014,4/23/2015,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/01/2014-2015,"Tender for the proposed fencing, gate house and associated external works for KIE LTD Office in Nyeri Town",M/S Compleat Construction Company Limited,"7,188,251.70",Open tender,11/4/2014,12/5/2014,12/23/2014,4/23/2015,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/02/2014-2015,"Tender for the proposed fencing, gate house and associated external works for KIE LTD Office in Embu Town",M/S Rossaby Enterprises Limited,"6,892,488.00",Open tender,11/4/2014,12/5/2014,12/23/2014,4/23/2015,,,8
KENYA INDUSTRIAL ESTATES,TNO.KIE/04/2014-2015,"Tender for the proposed renovations, fencing, gate house and associated external works for KIE LTD Office in Kikima Town Center",M/S Derow Construction Company Limited,"9,390,287.00",Open tender,11/4/2014,12/5/2014,12/23/2014,4/23/2015,,,8
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/FS/02/2014-2015,Supply & Delivery of Fumigation Sheets,Techno Relief Services,"6,663,040.00",Restricted Tender,10/30/2014,12/3/2014,12/9/2014,1/30/2015,,,8
PHARMACY AND POISONS BOARD,CWO/NRB/D108/25/2014-2015,PROPOSED CONSTRUCTION OF PERIMETER WALLING AND GATE INCLUDING CANOPY AT PHARMACY AND POISONS BOARD,HIGHVIEW CONTRACTORS LTD,"9,115,210.40",Restricted Tender,10/31/2014,12/10/2014,12/24/2014,4/17/2015,,,8
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/PP/02/2014-2015,"Supply and Delivery of 800,000 New Branded Woven PP bags x50kg(YAGPO)",Red Sea Logistics,"24,000,000.00",Open tender,12/23/2014,1/20/2015,2/6/2015,3/26/2015,35,27,8
COUNCIL OF LEGAL EDUCATION,DWO/LNGT/CLE/001/2014-2015,"PROPOSED OFFICE PARTITIONING FOR COUNCIL OF LEGAL EDUCATION AT KAREN OFFICE PARK-KAREN, NAIROBI","BORDERLINE SOLUTIONS LIMITED, BOX 1234-00515 NAIROBI","9,314,782.60",Restricted Tender,9/30/2014,11/5/2014,11/27/2014,2/24/2015,,,8
COUNCIL OF LEGAL EDUCATION,CLE/002/2014-2015,"PROPOSED SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF DATA AND VOICE NETWORK AT COUNCIL OF LEGAL EDUCATION 2ND FLOOR  KAREN OFFICE PARK , KAREN-NAIROBI","ELECTROSERVE  LIMITED, 372-00204 ATHI RIVER","7,453,812.00",Restricted Tender,10/13/2014,11/14/2014,12/2/2014,3/6/2015,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/01/A/2014-2015,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 12,500MT+-10% DAP Fertilizer",Interglobe Services Ltd,"8,192,500.00",Restricted Tender,1/15/2015,1/23/2015,1/29/2015,2/28/2015,0,3,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/01/B/2014-2015,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 15,000MT+-10% NPK 17:17:0 Fertilizer",Maritime Logistics,"9,831,000.00",Restricted Tender,1/15/2015,1/23/2015,1/27/2015,2/28/2015,0,3,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/01/C/2014-2015,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 33,000 MT +-10% CAN fertilizer",Interglobe Services Ltd,"21,628,200.00",Restricted Tender,1/15/2015,2/24/2015,3/2/2015,3/31/2015,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/MSR/02/2014-2015,"Supply & Delivery of Milled Sindano Rice 4,000 x 50kgs",Export Trading Co. Ltd,"14,240,000.00",Restricted Tender,2/2/2015,2/18/2015,2/24/2015,3/3/2015,,,9
KENYA SCHOOL OF LAW,KSL/10/2013-2014,Provision of security services at Kenya School of Law-Karen,Lavington Security Limited P.O. BOX 76283-00508 NAIROBI,"5,928,000.00",Restricted Tender,6/4/2014,7/2/2012,7/16/2014,6/30/2015,,,9
KENYA SCHOOL OF LAW,KSL/11/2013-2014,Provision of staff medical cover,Real Insurance Co. Ltd. P.O. Box 40001-00100 NAIROBI,"10,822,490.00",Restricted Tender,6/4/2014,7/2/2014,7/16/2014,6/30/2015,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/MSR/01/2014-2015,"Supply & Delivery of Milled Sindano Rice 2,000 x 50kgs",Jumbo Commodities,"7,000,000.00",Restricted Tender,12/3/2014,12/10/2014,12/11/2014,12/24/2014,0,2,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/PP/05/B/2013-2014,"Supply and delivery of 220,000 PP Bags x 50kgs for Urea 46%N fertilizer",Texplast Industries,"8,663,600.00",Restricted Tender,3/21/2014,4/2/2014,4/4/2014,4/9/2014,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/NPK 23:23/RT/01/2013-2014,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 22,000MT+-10% NPK 2323 Fertilizer",Interglobe Services Ltd,"14,546,400.00",Restricted Tender,1/10/2014,2/12/2014,3/4/2014,3/31/2014,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/NPK 17:17/RT/01/2013-2014,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 12,000MT+-10% NPK 1717 Fertilizer",Interglobe Services Ltd,"7,934,400.00",Restricted Tender,1/10/2014,2/12/2014,3/4/2014,3/31/2014,,,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/JB/01/2013-2014,"Supply & Delivery of 1,700,000+-5% New B.Twill Standard Jute Gunny Bags x 50 KG",Al Champdany,"180,234,000.00",Open tender,12/20/2013,2/26/2014,3/5/2014,6/30/2014,23,21,9
RONGO UNIVERSITY COLLEGE,RUC/OT/06/14/15,Construction of Water Treatment Plant,BILAKWA BUILDING AND CONSTRUCTION LTD,"80,388,340.96",Open tender,7/25/2014,9/5/2014,10/1/2014,1/31/2015,30,15,9
RONGO UNIVERSITY COLLEGE,RUC/OT/02/14/15,Supply and Delivery of 100No. Desktop Computers,COMPULYNX NYANZA LTD,"5,470,000.00",Open tender,5/9/2014,7/15/2014,7/30/2014,10/31/2014,17,17,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/PP/02/2013-2014,"Supply & Delivery of 665,000 Pcs of New Printed Woven PP bags x 50kgs",Texplast Industries,"19,950,000.00",Restricted Tender,12/17/2013,1/8/2014,1/13/2014,1/15/2014,,,9
RONGO UNIVERSITY COLLEGE,MOEST/TVET/44/2014 -2015,"PROPOSED ERECTION AND COMPLETION OF TWIN WORKSHOP, CLASSROOMS AND OFFICES BLOCK (2-STOREY) FOR THE PROPOSED KAKRAO TECHNICAL TRAINING INSTITUTE – MIGORI COUNTY (SUNA EAST CONSTITUENCY)",MANYA INVESTMENT CO. LTD,"48,720,833.50",Open tender,8/6/2014,9/24/2014,10/24/2014,10/24/2015,22,16,9
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/DWB/02/2013-2014,"Provision of Ship Discharge,Bagging,Weighing,Expediting & other related Services for 25,000MT+-10% CAN 26% Fertilizer",Interglobe Services Ltd,"15,080,000.00",Open tender,3/25/2014,4/17/2014,4/17/2014,5/31/2014,,,9
RONGO UNIVERSITY COLLEGE,MOEST/TVET/50/2014 -2015,"PROPOSED ERECTION AND COMPLETION OF TWIN WORKSHOP, CLASSROOMS AND OFFICES BLOCK (2-STOREY) FOR THE PROPOSED KENDEGE TECHNICAL TRAINING INSTITUTE – MIGORI COUNTY (KURIA EAST CONSTITUENCY)",FRESHA CONSTRUCTION CO.  LTD,"45,767,432.00",Open tender,8/6/2014,9/24/2014,1/29/2015,2/28/2016,26,15,9
RONGO UNIVERSITY COLLEGE,RUC/OT/08/2014-15,PROPOSED CONSTRUCTION OF DINING HALL AT RONGO UNIVERSITY COLLEGE,NYOBU ENTERPRISES LTD,"16,677,389.60",Open tender,10/6/2014,12/1/2014,1/9/2015,5/31/2015,28,17,9
KENYATTA NATIONAL HOSPITAL,KNH/T/33/2014-2015,"Provision of Cleaning Services, Ground Maintenance and Landscaping",Garfield Promotions Limited,"8,194,999.20",Open tender,4/8/2014,6/23/2014,7/1/2014,6/30/2015,,,9
RONGO UNIVERSITY COLLEGE,RUC/05/OP/13/14,COMPLETION OF THE TUITION BLOCK,BUILDHIGH ENTERPRISES,"313,831,515.60",Open tender,1/12/2014,2/11/2014,2/27/2014,1/31/2016,19,8,10
KENYA DAIRY BOARD,SUPPLY CIRCULAR NO.R04/2011/2012,SUPPLY AND DELIVERY OF 4X2 SINGLE CAB PICKS,SIMBA COLT MOTORS LIMITED,"6,468,000.00",Open tender,2/2/2014,2/5/2014,2/13/2014,6/18/2014,0,0,10
KENYA DAIRY BOARD,SUPPLY CIRCULAR NO.R04/2011/2012,SUPPLY AND DELIVERY HEAVY DUTY UTILITY VEHICLE,CMC MOTORS GROUP LIMITED,"5,600,000.00",Open tender,2/5/2014,2/5/2014,2/13/2014,6/18/2014,0,0,10
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/IS/02&03/2014-2015,"Supply & Delivery of Corrugated Alu-Zinc Roofing Sheets for GCP,Kitale,Mombasa & M/Bridge",Mabati Rolling Mills,"10,919,492.00",Restricted Tender,1/9/2015,1/20/2015,1/23/2015,1/28/2015,0,1,10
KENYA DAIRY BOARD,KDB/S/203/14,"DESIGN, DEVELOPMENT AND IMPLEMENTATION OF MANAGEMENT INFORMATION SYSTEM FOR INSPECTION AND LICENSING",ATTAIN ENTERPRISE SOLUTIONS LIMITED,"7,500,000.00",Open tender,5/9/2014,7/14/2014,8/29/2014,2/2/2015,12,4,10
NATIONAL CEREALS AND PRODUCE BOARD,NCPB/PP/03/2013-2014,"Supply and delivery of 400,000 PP Bags x 50kgs for CAN Fertilizer",Texplast Industries,"15,752,000.00",Restricted Tender,3/27/2014,4/24/2014,4/28/2014,5/8/2014,0,4,10
POSTAL CORPORATION OF KENYA,PCK/PROC/2/2014/2015,"Designing, Printing, Supply and Delivery of Security Printed Stationery",Kalzmat Printing Security Limited,"10,365,650.00",Open tender,6/18/2014,8/19/2014,2/18/2015,2/18/2016,18,11,10
COASTAL WATER SERVICES BOARD,Contract No.CWSB/T/07/2014-2015(B),"Lot 1 (b) - Rehabilitation of Kikoneni Treatment Works, Augmentation of Raw Water Main and Laying Gravity Main to Mkanda Dam and Metering",A.A.BAYUSUF & SONS LTD,"25,538,629.60",Open tender,9/1/2014,10/22/2014,11/10/2014,12/9/2014,44,16,10
COASTAL WATER SERVICES BOARD,Contract No.CWSB/T/07/2014-2015(c),Lot 1 (c) - Extension of Mbegani Water Supply Main and Rehabilitation of Kibuyuni-Magbwasheni Pipeline,Jumbo Interlinks Limited,"24,486,440.00",Open tender,9/1/2014,10/22/2014,11/10/2014,12/9/2014,44,16,10
COASTAL WATER SERVICES BOARD,Contract No.CWSB/T/07/2014-20159(A),Lot 1 (a) - Rehabilitation of Raw Water Pumping Station;,Jumbo Interlinks Limited,"15,249,476.00",Open tender,9/1/2014,10/22/2014,11/11/2014,12/9/2014,44,16,10
KENYA BUREAU OF STANDARDS,KEBS/T077/2013/2014,KEBS Staff Medical Insurance Cover for 2014/2015,APA insurance Ltd,"105,729,352.00",Open tender,5/12/2014,6/25/2014,8/28/2014,7/31/2015,1000,23,10
RONGO UNIVERSITY COLLEGE,RUC/39/2012-2013,PURCHASE OF 62 SEATER SEMI LUXURY BUS,KENYA COACH INDUSTRIES LTD,"9,450,000.00",Open tender,11/14/2012,12/28/2012,1/15/2013,3/22/2013,2,2,10
KILIFI MARIAKANI WATER AND SEWERAGE CO. LTD,KIMAWASCO/UPC/06W/1A/2014,Construction of 8km water pipeline & 5nos Insitu water kiosks at Kokotoni Township.,Njaka Njega (E.A) ltd,"7,762,510.00",Open tender,1/9/2014,3/7/2014,3/23/2014,7/31/2014,43,30,10
ATHI WATER SERVICES BOARD,AWSB/GoK/TDWTW-01/14,Construction of Theta Dam Water Treatment works,Njuca Consolidated Co. Ltd,"291,165,093.13",Open tender,5/22/2014,9/24/2014,11/20/2014,12/20/2015,41,9,10
ATHI WATER SERVICES BOARD,AWSB/WASSIP AF/COMP.1/W-09/14,Construction of Community water supply downstream of Thika Dam (Gatanga Water Supply),Weihai International Economic & Technical Cooperative Co. Ltd,"264,335,379.09",Open tender,5/14/2014,7/11/2014,11/7/2014,5/7/2016,54,26,10
ATHI WATER SERVICES BOARD,AWSB/WASSIP AF/COMP.1/W-16/14,Drilling and Equipping of boreholes and construction of associated works of Tanathi Water Services Board-Lot 1,Shanxi Geological Engineering Exploration Institute,"99,881,566.84",Open tender,5/14/2014,7/11/2014,11/7/2014,5/7/2016,54,26,10
